headword	grammar	genitive	etymology
μεγᾰλό-τοξος	ον		
μεγᾰλο-τράχηλος	ον		
μεγᾰλ-οῦχος	ον		
μεγᾰλο-φᾰνής	ές		
μεγᾰλο-φαρής	ές		
μεγᾰλο-φεγγής	ές		
μεγᾰλ-όφθαλμος	ον		
μεγᾰλό-φῐλος	ον		
μεγᾰλό-φλεβος	ον		
μεγᾰλο-φροσύνη	ἡ		
μεγᾰλό-φρων	ὁ	ονος	φρήν
μεγᾰλο-φῠής	ές		φυή
μεγᾰλο-φῠΐα	ἡ		
μεγᾰλό-φυλλος	ον		
μεγᾰλο-φωνία	ἡ		
μεγᾰλό-φωνος	ον		
μεγᾰλό-χαρτος	ον		
μεγᾰλο-χάσμων	ον		
μεγᾰλο-ψόφητος	ον		
μεγᾰλό-ψοφος	ον		
μεγᾰλο-ψῡχία	ἡ		
μεγᾰλό-ψῡχος	ον		
μεγᾰλ-ώδῠνος	ον		
μεγά̆λ-ωμα	τό	ατος	
μεγᾰλ-ώνῠμος	ον		
μεγᾰλ-ωσύνη	ἡ		
μεγᾰλ-ωφελής	ές		ὄφελος
μεγάμῡκος	ον		
μεγάνωρ	ὁ	ορος	
Μεγᾰρ-εύς	ὁ	έως	
μέγᾰρον	τό		
μέγαρ-σις	ἡ	εως	μεγαίρω
μεγα-σθενής	ές		
μεγα-σχῐδής	ές		
μεγά-τῑμος	ον		
μεγά-τολμος	ον		
μεγ-αυχής	ές		
μεγ-αύχητος	ον		
μεγεθο-ποίησις	ἡ	εως	
μεγεθ-ουργία	ἡ		
μεγήρῐτος	ον		ἐρίζω
μεγιστάν	ὁ	ᾶνος	
μεγιστο-άνασσα	ἡ		
μεγιστό-σωμος	ον		
μεγιστό-τῑμος	ον		
Μεγιστώ	ἡ	οῦς	
μεδέων	ὁ	οντος	μέδω
μεδιμν-αῖος	ον		
μέδιμν-ος	ὁ		
μέδος	ὁ		
μεθαρμ-ογή	ἡ		
μεθάρμ-οσις	ἡ	εως	
μέθεξις	ἡ	εως	μετέχω
μεθέορτος	ον		ἑορτή
μέθ-εσις	ἡ	εως	μεθίημι
μεθέτερος	ον		
μέθη	ἡ		for μεθύω: μέθη, cf. πληθύω: πλήθᾱ
μεθημέριος	ον		
μεθημοσύνη	ἡ		
μεθήμων	ον		μεθίημι
μεθίδρ-ῡσις	ἡ	εως	
μεθοδ-εία	ἡ		
μεθόδ-ευμα	τό	ατος	
μεθοδ-ευτής	ὁ	οῦ	
μεθόδ-ιον	τό		
μεθοδ-ίτης	ὁ	ου	nisi leg. -ευτής
μέθοδ-ος	ἡ		μετά, ὁδός
μεθολκή	ἡ		
μεθομήρεος	ὁ		
μεθομοίωσις	ἡ	εως	
μεθόπιον	τό		
μεθόπωρον	τό		
μέθῠ	τό		
μεθῠδότης	ὁ	ου	
μεθ-υδριάς	ἡ	άδος	ὕδωρ
Μεθ-ύδριον	τό		
μεθῠδώτης	ὁ	ου	
μεθ-υμναῖος	ὁ		μέθυ
μεθῠ-πῖδαξ	ὁ	ᾰκος	
μεθῠ-πλήξ	ὁ	ῆγος	
μεθυπο-στρέψιμος	ον		
μεθυπό-στρωσις	ἡ	εως	
μεθυπο-χώρησις	ἡ	εως	
μεθύσης	ὁ	ου	
μέθῠσις	ἡ	εως	
μέθυσμα	τό	ατος	
μεθῠσοκόττᾰβος	ον		
μεθῠσοχάρυβδις	ἡ	εως	
μεθύστερος	ον		
μεθ-υστής	ὁ	οῦ	
μεθ-ύστρια	ἡ		
μεθυ-σφᾰλής	ές		
μεθυ-τρόφος	ον		
μεθυ-χάρμων	ον		
μειᾰγωγ-ός	ὁ		
μειδ-άμων	ὁ	ονος	
μείδ-ημα	τό	ατος	
μειδί-ᾱμα	τό	ατος	
μειδί-ασμα	τό	ατος	
μειδι-ασμός	ὁ		
μειζον-ία	ἡ		cf. μέγας c.1
μειζον-ότης	ἡ	ητος	
μείης	ὁ		= μήν
μεῖλαξ	ὁ	ακος	
μείλιγμα	τό	ατος	μειλίσσω
μειλικ-τήριος	ον		
μειλίνεος	ον		
Μειλῐνόη	ἡ		
μείλῐνος	ον		
μείλιξις	ἡ	εως	
μείλιον	τό		
μειλίχ-η	ἡ		
μειλιχ-ία	ἡ		
μειλιχ-ιεῖον	τό		
μειλίχ-ιος	ον		
μείλιχμα	τό	ατος	
μειλῐχό-βουλος	ον		
μειλῐχό-δωρος	ον		
μειλῐχό-θῡμος	ον		
μειλῐχό-μειδος	ον		
μείλῐχος	ον		
μεῖον	τό	ονος	
μεῖον	τό	ου	
μεῖον	τό	ου	
μειονεξία	ἡ		
μειοπῠρεξία	ἡ		
μειότης	ἡ	ητος	
μειόφρων	ὁ	ονος	φρήν
μειρᾰκῐ-εία	ἡ		
μειρᾰκῐ-εξᾰπάτης	ὁ	ου	
μειρά̆κῐ-ον	τό		
μειρᾰκ-ίσκη	ἡ		
μειρᾰκ-ίσκος	ὁ		
μειρᾰκῐωδ-ία	ἡ		
μειρᾰκύλλιον	τό		
μεῖραξ	ἡ	ᾰκος	
μείς	ὁ	μηνός	
μεῖστος	ον		
μεῖχμα	τό	ατος	
μεί-ωμα	τό	ατος	μειόω
μει-ώνῠμος	ον		
μεί-ωσις	ἡ	εως	μειόω
μει-ώτης	ὁ	ου	
μελάγ-γαιος	ον		
μελαγ-γρᾰφής	ές		
μελαγ-κευθής	ές		
μελάγ-κολπος	ον		
μελαγ-κόμης	ὁ	ου	
μελαγ-κόρῠφος	ὁ		
μελάγ-κουρος	ον		
μελάγ-κραιρα	ἡ		
μελαγ-κράνινος	ον		
μελαγ-κρᾰνίς	ἡ	ίδος	
μελαγ-κρήπῑς	ὁ	ῑδος	
μελάγ-κροκος	ον		κρόκη
μελάγ-κωπος	ον		
μελαγ-χαίτης	ὁ	α	
μελάγ-χῐμος	ον		
μελαγ-χίτων	ὁ		
μελάγ-χλαινος	ον		
μελάγ-χλωρος	ον		
μελαγ-χολία	ἡ		
μελάγ-χολος	ον		
μελάγ-χροος	ον		
μελάθρα	ἡ		
μέλαθρον	τό		
μέλαινα	ἡ		
μελαινάς	ἡ	άδος	
μελαινίς	ἡ	ίδος	
μελαινονεφής	ές		
μελαμ-βᾰθής	ές		
μελαμ-βᾰφής	ές		
μελάμ-βιος	ον		
μελάμ-βοος	ον		
μελαμ-βόρειος	ον		βορέας
μελάμ-βωλος	ον		
μελαμ-πᾱγής	ές		
μελάμ-πεπλος	ον		
μελαμ-πέτᾰλος	ον		
μελάμ-πετρος	ον		
μελαμποδ-εῖον	τό		
μελαμ-πόδιον	τό		
μελαμ-πόρφῠρος	ον		
μελάμ-πους	ὁ		
μελαμ-πράσιον	τό		
μελάμ-πρῳρος	ον		
μελάμ-πῡγος	ον		
μελάμ-πῡρον	τό		
μελαμ-φᾰής	ές		
μελαμ-φᾱρής	ές		φᾶρος
μελάμ-φυλλος	ον		
μελάμ-φωνος	ον		
μελαμ-ψήφῑς	ὁ	ῑδος	
μελαμ-ψίθιος	ὁ		sc. οἶνος
μελάμ-ψωρος	ον		
μέλᾰν	τό	ᾰνος	neut. of μέλας
μελᾰν-άετος	ὁ		
μελᾰν-ᾰθὴρ σῖτος	ὁ		
μελᾰν-αίων	ὁ	ωνος	μελανεών Bgk.
μελᾰν-αυγής	ές		
μελά̆ν-δειρος	ὁ		
μελά̆ν-δετος	ον		
μελᾰν-δίνης	ὁ	ου	
μελᾰν-δόκος	ον		
μελᾰν-δόχιον	τό		
μελά̆ν-δρῠον	τό		
μελά̆ν-δρῠος	ον		
μέλᾰν-δρῡς	ὁ	ῠος	
μελᾰν-ειμοσύνη	ἡ		
μελᾰν-είμων	ον		
μελάν-ζοφος	ον		
μελάν-ζωνος	ον		
μελᾰνη-φόρος	ον		
μελαν-θέᾱ	ἡ		
μελανθέλαιον	τό		
μελ-άνθεμον	τό		
μελ-ανθής	ές		ἄνθος = colour
μελ-άνθινος	ον		
μελ-άνθιον	τό		
μελάνθριξ	ὁ	τρῐχος	
μελᾰν-ία	ἡ		μέλας
μελά̆ν-ιον	τό		
μελά̆ν-ιππος	ον		
μελᾰνίχροος	ον		
μελᾰνό-βροχος	ον		
μελᾰνό-γειος	ον		
μελᾰνό-γραμμος	ον		
μελᾰνο-δέρμᾰτος	ον		
μελᾰνο-δοχεῖον	τό		
μελᾰνο-ειδής	ές		
μελᾰνο-είμων	ον		
μελᾰνό-ζυξ	ὁ	ῠγος	
μελᾰνό-θριξ	ὁ	τρῐχος	
μελᾰνο-κάρδιος	ον		
μελᾰνό-κολπος	ον		
μελᾰνό-κωλος	ον		
μελᾰνό-μαλλος	ον		
μελᾰν-όμμᾰτος	ον		
μελᾰνο-νεκῠοείμων	ον		
μελᾰνο-νεφής	ές		
μελᾰνο-πλόκᾰμος	ον		
μελᾰνό-πους	ὁ	ποδος	
μελᾰνό-πτερος	ον		
μελᾰνο-πτέρυξ	ὁ	ῠγος	
μελᾰνό-πωλος	ον		
μελᾰνο-ρράβδωτος	ον		
μελᾰνό-ρριζον	τό		
μελᾰνοσπᾰλάκισσα	ἡ		
μελάν-οσσος	ον		
μελᾰνό-στερφος	ον		
μελᾰνό-στικτος	ον		
μελᾰνό-στολος	ον		
μελάν-οστος	ον		
μελᾰνο-συρμαῖος	ον		
μελᾰνο-σώμᾰτος	ον		
μελᾰνότης	ἡ	ητος	
μελά̆ν-ουρος	ὁ		οὐρά
μελᾰνόφαιος	ον		
μελᾰν-όφθαλμος	ον		
μελᾰνό-φλεψ	ὁ	εβος	
μελᾰνο-φόρος	ον		
μελᾰνό-φυλλος	ον		
μελᾰνό-χλωρος	ον		
μελᾰνό-χροος	ον		
μέλανσις	ἡ	εως	
μελάν-σπερμον	τό		
μελάν-στερνος	ον		
μελαν-τειχής	ές		
μελαν-τηρία	ἡ		
μελαν-τήριον	τό		
μελαν-τρᾰγής	ές		
μελάν-υδρος	ον		
μελαν-ῶπις	ἡ	ιδος	
μελάρ-ρῑνος	ον		ῥινόν
μέλ-ασμα	τό	ατος	
μελ-ασμός	ὁ		
μελε-άγριον	τό		
μελε-αγρίς	ἡ	ίδος	
μελεγγρᾰφής	ές		
μελεδ-ηθμός	ὁ		
μελέδ-ημα	τό	ατος	μελεδαίνω
μελεδ-ήμων	ον		
μελεδ-ών	ἡ	ῶνος	
μελεδ-ωνεύς	ὁ	έως	
μελεδ-ώνη	ἡ		
μελέϊνος	ον		
μελεο-πᾰθής	ές		
μελεό-πονος	ον		
μέλεος	ον		
μελεόφρων	ὁ		
μελεσίπτερος	ον		μέλος B
μελέτ-η	ἡ		
μελέτ-ημα	τό	ατος	
μελέτ-ησις	ἡ	εως	
μελετ-ητέος	ον		
μελετ-ητήριον	τό		
μελέτ-ωρ	ὁ	ορος	μέλω
μέλη	ἡ		
μελ-ηδών	ἡ	όνος	
μέλ-ημα	τό	ατος	μέλω
μελ-ησίμβροτος	ον		
μελ-ησμός	ὁ		
Μελητίδης	ὁ	ου	
μέλῐ	τό		
μελία	ἡ		
μελιᾱδής	ές		
μελῐ-βόας	ὁ		
μελί̆-βρομος	ον		
μελῐ-γᾱθής	ές		
μελί̆-γδουπος	ον		
μελῐ-γενέτωρ	ὁ	τορος	
μελί̆-γηρυς	ὁ	υος	
μελί̆-γληνος	ον		
μελί̆-γλωσσος	ον		
μέλιγμα	τό	ατος	
μελιειδής	ές		
μελί-εφθον	τό		
μελίζωρος	ον		
μελῐη-γενής	ές		
μελῐ-ηδής	ές		
μελί̆-θρεπτος	ον		
μελί̆-θροος	ον		
μελίϊνος	ον		
μελί-κηρᾰ	ἡ		
μελι-κήριον	τό		κηρός
μελι-κηρίς	ἡ	ίδος	
μελί-κηρον	τό		
μελί-κηρος	ὁ		
μελί-κομπος	ον		
μελίκρᾱτον	τό		κεράννυμι
μελίκταινα	ἡ		
μελικτής	ὁ	οῦ	μελίζω B
μελῐ-λώτῐνος	ον		
μελί̆-λωτον	τό		
μελίνη	ἡ		
μέλινον	τό		
μέλινος	ὁ		
μελι-οῦχος	ὁ		
μελί-παις σίμβλος	ὁ		
μελί-πηκτον	τό		
μελί-πνοος	ον		
μελι-πτέρωτος	ον		
μελί-πτορθος	ον		
μελι-ρρᾰθάμιγξ	ὁ	ιγγος	
μελί-ρροθος	ον		
μελί-ρροος	ον		
μελί-ρρῠτος	ον		
μέλις	ὁ		
μελίσκιον	τό		
μέλισμα	τό	ατος	μελίζω B
μελισμάτιον	τό		
μελισμός	ὁ		μελίζω A
μέλισσᾰ	ἡ	ης	
μελισσ-αῖος	ον		
μελίσσ-ειος	ον		
μελισσ-εύς	ὁ	έως	
μελισσ-ία	ἡ		
μελισσο-βότᾰνον	τό		
μελισσό-βοτος	ον		
μελισσο-κόμος	ον		
μελισσο-νόμος	ον		νέμω
μελισσο-πόλος	ον		
μελισσο-πόνος	ον		
μελισσό-ρῠτος	ον		
μελισσο-σόος	ον		
μελισσό-τευκτος	ον		
μελισσό-τοκος	ον		
μελισσο-τρόφιον	τό		
μελισσο-τρόφος	ον		
μελισσουργ-εῖον	τό		
μελισσουργ-ία	ἡ		
μελισσουργ-ός	ὁ		
μελισσο-φάγος	ον		
μελισσο-φάτνη	ἡ		
μελισσό-φυλλον	τό		
μελισσό-φῠτον	τό		
μελισσών	ὁ	ῶνος	
μελι-στᾰγής	ές		
μελί-στακτος	ον		
μελιστής	ὁ	οῦ	
Μελῐταῖος	ον		
μελίτεια	ἡ		
μελίτειον	τό		μέλι
μελῐτερπής	ές		
μελίτ-ῐνος	ον		
μελίτ-ιον	τό		
μελιτ-ισμός	ὁ		
μελιτ-ίτης	ὁ		
μελῐτο-ειδής	ές		
μελῐτο-πώλης	ὁ	ου	
μελῐτό-ρρῠτος	ον		
μελῐτουργ-ία	ἡ		
μελῐτό-φυλλον	τό		
μελῐτό-χροος	ον		
μέλιττα	ἡ		
μελίττ-αινα	ἡ		
μελίττιον	τό		
μελιττο-πόλος	ον		
μελιττ-ών	ὁ	ῶνος	
μελί̆τ-ωμα	τό	ατος	
μελί̆τ-ωσις	ἡ	εως	
μελί-φθογγος	ον		
μελι-φόρος	ὁ		
μελί-φρων	ον		φρήν
μελί-φυλλον	τό		
μελί-φυρτος	ον		
μελί-χλωρος	ον		
μελίχροος	ον		
μελιχρότης	ἡ	ητος	
μελίχρῡσος	ον		
μελίχρως	ὁ	ωτος	
μέλκα	ἡ		
μελλάκιον	τό		
μέλλαξ	ὁ	ακος	
μελλάρχων	ὁ	οντος	
μελλ-είρην	ὁ	ενος	-ίρην Hsch.
μελλ-ειρονία	ἡ		written μελλειρο-νεία
μελλέ-πταρμος	ον		
μελλέφηβος	ον		
μέλλ-ημα	τό	ατος	
μέλλ-ησις	ἡ	εως	
μέλλ-ησμα	τό	ατος	
μελλ-ησμός	ὁ		
μελλ-ητής	ὁ	οῦ	
μελλ-ῐέρη	ἡ		
μελλιχ-όμειδος	ον		
μελλιχ-όφωνος	ον		
μελλό-γαμβρος	ὁ		
μελλό-γᾰμος	ον		
μελλο-γυμνᾰσίαρχος	ὁ		
μελλο-θάνᾰτος	ον		
μελλό-νυμφος	ον		
μελλό-παις	ὁ		
μελλό-ποσις	ὁ		
μελλο-πρόεδρος	ὁ		
μελλο-πρύτᾰνις	ὁ	εως	
μελλῠμέναιος	ον		
μελλώ	ἡ	οῦς	
μελο-γρᾰφία	ἡ		μέλος B
μελο-γράφος	ὁ		
μελο-θεσία	ἡ		μέλος A
μελο-κόπησις	ἡ	εως	
μελο-κοπία	ἡ		
μελο-κόπος	ον		μέλος A, κόπτω
μελοποι-ητής	ὁ	οῦ	
μελοποι-ΐα	ἡ		
μελοποι-ός	ὁ		
μέλος	τό	εος	
μέλοψ	ὁ		
μελπήτωρ	ὁ	ορος	μέλπω
Μελπομένη	ἡ		
μελύδριον	τό		
μελῴδ-ημα	τό	ατος	
μελῳδ-ία	ἡ		
μεμβράδιον	τό		
μεμβρᾰδοπώλης	ὁ	ου	
μεμβράνα	ἡ		
μέμβραξ	ὁ	ακος	
μεμβράς	ἡ	άδος	
μεμβρ-ᾰφύα	ἡ		
Μέμνων	ὁ	ονος	μένω
μεμόριον	τό		
μεμπ-τέος	ον		
μέμφειρα	ἡ		
Μεμφίτιον	τό		
μεμφωλή	ἡ		
μεμψῐ-μοιρία	ἡ		
μεμψί̆-μοιρος	ον		
μέμψις	ἡ	εως	
μεν-αίχμης	ὁ	α	
μέν-ανδρος	ον		
μενεγχής	ές		
μενε-δήϊος	ον		
μενέ-δουπος	ον		
μενέ-κτῠπος	ον		
Μενέλᾱος	ὁ		
μενε-μάχος	ον		
μενε-πτόλεμος	ον		
μενε-φύλοπις	ὁ	ιος	
μενε-χάρμης	ὁ	ου	χάρμη
μέν-ημα	τό	ατος	
μενθήρη	ἡ		
μενοεικής	ές		εἰκός, ἔοικα
μενοιν-ή	ἡ		
μένος	τό	εος	
μεντάγρα	ἡ		
Μεντορουργής	ές		
μέρα	ἡ		
μεράρχ-ης	ὁ	ου	μέρος
μεραρχ-ία	ἡ		
μέρεια	ἡ		
Μερῐδ-άρπαξ	ὁ	ᾰκος	
μερῐδάρχ-ης	ὁ	ου	
μερῐδαρχ-ία	ἡ		
μερίδιον	τό		
μέριμν-α	ἡ		
μερίμν-ημα	τό	ατος	
μεριμν-ητής	ὁ	οῦ	
μεριμνο-τόκος	ον		
μεριμνο-φροντιστής	ὁ	οῦ	
μερ-ίς	ἡ	ίδος	μέρος
μέρ-ισμα	τό	ατος	
μερ-ισμός	ὁ		
μερ-ιστής	ὁ	οῦ	
μερῑτ-εία	ἡ		
μερί̄τ-ης	ὁ	ου	μερίς
μερμέριος	ον		
μέρμερος	ον		
μέρμηρ-ᾰ	ἡ		
μερμίλλων	ὁ	ωνος	
μέρμῑς	ἡ	ῑθος	
μέρμνος	ὁ		
μεροπήϊος	ον		μέροψ
μεροποσπόρος	ον		
μέρος	τό	εος	μείρομαι
μέροψ	ὁ	οπος	
μέσᾰβον	τό		μέσος, βοῦς
μεσ-άγκῠλον	τό		ἀγκύλη
μεσ-άγριος	ον		
μεσάδιος	ον		
μεσαῖος	ον		
μεσαιπόλιος	ον		
μεσαίχμιον	τό		αἰχμή
μέσακλον	τό		
μέσακτος	ον		ἀκτή
μεσ-άραιον	τό		sc. δέρμα
μεσάτιον	τό		
μεσ-αύλη	ἡ		
μεσ-αύλιον	τό		αὐλός
μεσ-αύλιος	ον		
μέσ-αυλον	τό		
μέσ-αυλος	ον		αὐλή
μεσ-αύχην	ὁ	ενος	
μέσδων	ον		
μεσεγγύ̆-η	ἡ		
μεσεγγύ̆-ημα	τό	ατος	
μεσέγγῠ-ος	ὁ		
μεσεγγύ̆-ωμα	τό	ατος	
μεσεμβόλ-ημα	τό	ατος	
μεσεμβόλ-ησις	ἡ	εως	
μεσεμβολ-ία	ἡ		
μεσέμβολ-ος	ον		
μεσ-εντέριον	τό		sc. δέρμα
μεσ-έρκειος	ον		ἕρκος
μεσεύς	ὁ	έως	
μέση	ἡ		sc. χορδή
μεσ-ῆλιξ	ὁ	ῐκος	
μεσήμβρ-ιος	ον		
μεσήμβρ-ιον	τό		
μεσημβρ-ιστός	ὁ		
μεσ-ημέριος	ον		
μεσ-ήπειρος	ον		
μέσης	ὁ	ου	
μεσήτιος	ον		
μεσιάνη	ἡ		
μεσίδι-ον	τό		
μεσίδι-ος	ον		
μεσῑτ-εία	ἡ		
μεσί̄τ-ης	ὁ	ου	
μέσκος	ὁ		
μεσοβᾰσῐλ-εία	ἡ		
μεσοβᾰσί̆λ-ειος	ον		
μεσοβᾰσῐλ-εύς	ὁ	έως	
μεσό-βῐος	ον		
μεσό-γαιος	ον		
μεσο-γάστωρ	ὁ	ορος	
μεσο-γονάτιον	τό		γόνυ
μεσό-γρᾰφος	ον		
μεσο-δάκτῠλον	τό		
μεσο-δάκτυλος	ὁ		
μεσο-δερκής	ές		
μεσόδμη	ἡ		δέμω, cf. EM581.5
μεσό-δοκον	τό		
μεσο-δόμιον	τό		
μεσό-δομος	ἡ		
μεσο-ειδής	ές		cf. μέση I
μεσό-ζευγμα	τό	ατος	
μεσο-ζύγιος	ὁ		
μεσόθριξ	ὁ	τρῐχος	
μεσό-κλαστος	ον		κλάω
μεσο-κνήμιον	τό		
μεσό-κοιλος	ον		
μεσό-κοπος	ον		κόπτω
μεσό-κουρος	ον		
μεσό-κρᾱνον	τό		
μεσο-κρῐνής	ές		sc. κίων
μεσο-κύνιον	τό		κύων VIII
μεσό-κωλον	τό		
μεσολᾰβ-ής	ές		
μεσολά̆β-ησις	ἡ	εως	
μεσόλᾰβ-ος	ὁ		
μεσό-λευκος	ον		
μεσο-μάζιον	τό		
μεσό-μακρος	ον		
μεσο-μηνία	ἡ		
μεσο-μήνιον	τό		
μεσομφά̆λ-ιον	τό		
μεσόμφᾰλ-ος	ον		
μέσον	τό		
μεσο-νεφής	ές		
μεσο-νύκτιος	ον		
μεσο-πᾰγής	ές		παγῆναι
μεσό-πλᾰτος	ον		
μεσο-πλεύριος	ον		
μεσό-πλουτος	ον		
μεσό-πολις	ἡ		
μεσο-πόντιος	ὁ		
μεσο-πορία	ἡ		
μεσο-πορικόν	τό		
μεσο-πόρος	ον		
μεσο-πόρφῠρος	ον		
μεσο-ποτάμιος	ον		
μεσο-πύγιον	τό		
μεσο-πύλη	ἡ		
μεσο-πύργιον	τό		
μεσόρομβος	ὁ		
μεσορρᾰγής	ές		
μέσος	ον		v. ἰμέσος, μεσακόθεν
μεσο-σέληνον	τό		
μεσο-στάτης	ὁ	ου	
μεσό-στενος	ον		
μεσο-στύλιον	τό		
μεσο-συλλᾰβία	ἡ		
μεσό-σφαιρος	ον		
μεσο-σχῐδής	ές		
μεσο-τᾰγής	ές		
μεσό-τακτος	ὁ		
μεσο-τείχιος	ον		
μεσό-της	ἡ	ητος	μέσος
μεσό-τοιχον	τό		
μεσό-τοιχος	ὁ		
μεσό-τομος	ον		
μεσο-τρῐβᾰκόν	τό		
μεσο-τρίβας	ὁ	α	μέσος III.7
μεσο-τρῐβής	ές		
μεσό-τῠχος	ον		
μεσουρά̆ν-ημα	τό	ατος	
μεσουρά̆ν-ησις	ἡ	εως	
μεσουρά̆ν-ιος	τό	μεσουράν-ιον	
μεσουρά̆ν-ισμα	τό	ατος	
μεσούριον	τό		
μεσο-φάλακρος	ον		
μεσο-φᾰνής	ές		
μεσο-φᾰράγγιον	τό		
μεσ-όφθαλμος	ον		
μεσό-φθεγμα	τό	ατος	
μεσο-φλέβιον	τό		
μεσ-όφρῠον	τό		
μεσό-χθων	ὁ	ονος	
μεσό-χλοος	ον		
μεσό-χορος	ον		
μεσο-χρόνιος	ον		
μεσό-χροος	ον		
μεσό-χωρος	ον		
μεσπίλ-η	ἡ		
μέσπιλ-ον	τό		
μέσσᾰτος	ον		
μεσσο-γενής	ές		
μέσσορος	ὁ		
μέσσος	ον		
μεστ-ότης	ἡ	ητος	
μέστ-ωμα	τό	ατος	
μέστ-ωσις	ἡ	εως	
μεσύμνιον	τό		
μεσῳδ-ός	ἡ		
μέσωρος	ον		
μετά-βᾰσις	ἡ	εως	
μετα-βάτης	ὁ	ου	
μεταβῐβ-αστέος	ον		
μετά-βλημα	τό	ατος	
μεταβολ-εύς	ὁ	έως	
μεταβολ-ή	ἡ		
μεταβολ-ία	ἡ		
μετάβολ-ος	ον		
μεταβούλ-ευμα	τό	ατος	
μεταβουλ-ία	ἡ		
μετάβουλ-ος	ον		
μεταγγ-ισμός	ὁ		
Μεταγείτν-ιος	ὁ		
μεταγενής	ές		
μετά-γνοια	ἡ		
μετα-γνώμη	ἡ		
μετά-γνωσις	ἡ	εως	
μεταγραμμᾰτ-ισμός	ὁ		
μεταγρᾰφ-εύς	ὁ	έως	
μεταγρᾰφ-ή	ἡ		
μετᾰγωγ-εύς	ὁ	έως	
μετᾰγωγ-ή	ἡ		
μεταδήμιος	ον		δῆμος
μεταδια-τᾰγή	ἡ		
μεταδιοίκ-ησις	ἡ	εως	
μεταδιόρθ-ωσις	ἡ	εως	
μεταδιορισμός	ὁ		
μεταδί̆ωκ-τος	ον		
μεταδίωξις	ἡ	εως	
μεταδόρπιος	ον		δόρπον
μετα-δόσιμον	τό		
μετά-δοσις	ἡ	εως	
μετα-δότης	ὁ	ου	
μετάδουπος	ον		
μεταδρομ-ή	ἡ		
μετάδρομ-ος	ον		
Μετάδως	ἡ		μεταδίδωμι
μεταζήτησις	ἡ	εως	
μετάθεσις	ἡ	εως	μετατίθημι
μετά-θετος	ον		
μεταιβολία	ἡ		
μεταίτ-ης	ὁ	ου	
μεταίτ-ησις	ἡ	εως	
μεταίτιος	ον		
μεταίφνιος	ον		
μετ-αίχμιος	ον		αἰχμή
μετακάρπιον	τό		καρπός B
μετακατα-σκευή	ἡ		
μετακατα-τροπή	ἡ		
μετά-κερᾰς	ὁ		
μετα-κέρασμα	τό	ατος	
μετακί̄ν-ημα	τό	ατος	
μετακί̄ν-ησις	ἡ	εως	
μετακῑν-ητέος	ον		
μετακῑόνιον	τό		
μετά-κλησις	ἡ	εως	
μετα-κλητέος	ον		
μετά-κλητος	ον		
μετά-κλῐσις	ἡ	εως	
μετάκοινος	ον		
μετακοίνωνος	ον		
μετακομ-ῐδή	ἡ		
μετακόμ-ισις	ἡ	εως	
μετακομ-ιστέος	ον		
μετακόσμ-ησις	ἡ	εως	
μετακόσμ-ιος	ον		κόσμος IV
μετακύμιος	ον		κῦμα
μετακύνιον	τό		
μεταλγ-ής	ές		
μετά-ληψις	ἡ	εως	
μεταλλ-ᾰγή	ἡ		
μεταλλ-ακτήρ	ὁ	ῆρος	
μετάλλ-αξις	ἡ	εως	
μεταλλάρχης	ὁ	ου	
μεταλλ-εία	ἡ		
μεταλλ-εῖον	τό		
μεταλλ-εύς	ὁ	έως	
μετάλλ-ευσις	ἡ	εως	
μεταλλ-ευτής	ὁ	οῦ	
μεταλλ-ίτης	ὁ	ου	
μεταλλοί-ωσις	ἡ	εως	
μέταλλον	τό		
μεταλλουργ-εῖον	τό		
μεταλλουργ-ός	ὁ		
μετα-λόγιον	τό		
μεταμάζιος	ον		μαζός
μεταμάθησις	ἡ	εως	
μετ-άμειψις	ἡ	εως	
μεταμελλησμός	ὁ		
μετάμελ-ος	ὁ		
μεταμήθεια	ἡ		
μεταμόρφ-ωσις	ἡ	εως	
μετᾰμώλιος	ον		
μετᾰμώνιος	ον		
μεταναιέτ-ης	ὁ	ου	
μετανά-στᾰσις	ἡ	εως	
μετανά-στᾰτος	ον		
μετανάστ-ης	ὁ	ου	μεταναστῆναι, cf. ὑπερανάστης
μετανάστ-ιος	ον		
μετανιπτρίς	ἡ	ίδος	
μετανό-ημα	τό	ατος	
μετάνοια	ἡ		
μέταξ-α	ἡ	ης	
μεταξ-άβλαττα	ἡ		
μεταξ-άριος	ὁ		
μετάξ-ιον	τό		
μέταξ-ον	τό		
μεταξῠλογία	ἡ		
μεταξύτης	ἡ	ητος	
μεταπαιδ-ιά	ἡ		
μεταπαρά-δοσις	ἡ	εως	
μετα-παυσωλή	ἡ		
μετα-πεμπτέος	ον		
μετά-πεμπτος	ον		
μετά-πεμψις	ἡ	εως	
μεταπήδ-ησις	ἡ	εως	
μετά-πλᾰσις	ἡ	εως	
μετα-πλασμός	ὁ		
μετάπλοος	ὁ		
μετα-πνοή	ἡ		
μεταποι-ή	ἡ		
μεταποί-ησις	ἡ	εως	
μεταποίνιος	ον		
μεταπομπή	ἡ		
μεταπόντιος	ον		
μεταποροποί-ησις	ἡ	εως	
μετά-πρᾱσις	ἡ	εως	
μετα-πράτης	ὁ	ου	
μεταπρεπ-ής	ές		
μετά-πτωσις	ἡ	εως	
μετά-πτωτος	ον		
μεταπύργ-ιον	τό		
μεταπυργ-ίς	ἡ	ίδος	
μετᾰρίθμιος	ον		
